JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,LT,RG,RR,
2458345.344714629, A.D. 2018-Aug-14 20:16:23.3440,  1.274288340152185E+07, -1.080436481979871E+08, -2.279052692105666E+06,  3.454240315348478E+01,  3.980700610667935E+00, -1.930802587175827E+00,  3.629723813165526E+02,  1.088163823810026E+08,  1.330755530561940E-01,
2458345.594714629, A.D. 2018-Aug-15 02:16:23.3440,  1.348868715881464E+07, -1.079550698217316E+08, -2.320702935077414E+06,  3.451322415476540E+01,  4.220964895702670E+00, -1.925686015762816E+00,  3.629819201955293E+02,  1.088192420649776E+08,  1.317089547019248E-01,
2458345.844714629, A.D. 2018-Aug-15 08:16:23.3440,  1.423384276153751E+07, -1.078613041103655E+08, -2.362241664673649E+06,  3.448238912101897E+01,  4.461007532188465E+00, -1.920477317683354E+00,  3.629913603861164E+02,  1.088220721629176E+08,  1.303361163476338E-01,
2458346.094714629, A.D. 2018-Aug-15 14:16:23.3440,  1.497831445771960E+07, -1.077623559735964E+08, -2.403666893763207E+06,  3.444989976712228E+01,  4.700817217005013E+00, -1.915176753333554E+00,  3.630007014410971E+02,  1.088248725407506E+08,  1.289571039526030E-01,
2458346.344714629, A.D. 2018-Aug-15 20:16:23.3440,  1.572206653324064E+07, -1.076582305651270E+08, -2.444976640883945E+06,  3.441575788286436E+01,  4.940382661195812E+00, -1.909784587217835E+00,  3.630099429180173E+02,  1.088276430658321E+08,  1.275719837448821E-01,
2458346.594714629, A.D. 2018-Aug-16 02:16:23.3440,  1.646506331344777E+07, -1.075489332823440E+08, -2.486168930331230E+06,  3.437996533282249E+01,  5.179692590437579E+00, -1.904301087935075E+00,  3.630190843792036E+02,  1.088303836069508E+08,  1.261808222183100E-01,
2458346.844714629, A.D. 2018-Aug-16 08:16:23.3440,  1.720726916476957E+07, -1.074344697659978E+08, -2.527241792246252E+06,  3.434252405623573E+01,  5.418735745508465E+00, -1.898726528164640E+00,  3.630281253917836E+02,  1.088330940343350E+08,  1.247836861295270E-01,
2458347.094714629, A.D. 2018-Aug-16 14:16:23.3440,  1.794864849632734E+07, -1.073148458998703E+08, -2.568193262704015E+06,  3.430343606687596E+01,  5.657500882755097E+00, -1.893061184652274E+00,  3.630370655277034E+02,  1.088357742196573E+08,  1.233806424949933E-01,
2458347.344714629, A.D. 2018-Aug-16 20:16:23.3440,  1.868916576154367E+07, -1.071900678104340E+08, -2.609021383801065E+06,  3.426270345291637E+01,  5.895976774558413E+00, -1.887305338195873E+00,  3.630459043637474E+02,  1.088384240360408E+08,  1.219717585880109E-01,
2458347.594714629, A.D. 2018-Aug-17 02:16:23.3440,  1.942878545974799E+07, -1.070601418665006E+08, -2.649724203742735E+06,  3.422032837679754E+01,  6.134152209798319E+00, -1.881459273631129E+00,  3.630546414815560E+02,  1.088410433580644E+08,  1.205571019356937E-01,
