            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2460140.020833333, A.D. 2023-Jul-14 12:30:00.0000,  1.029867617335550E+05,  3.399820538645082E+05,  1.738792886645182E+05, -9.491494944035902E-01,  2.435908697667110E-01,  1.756317883532953E-01,
2460140.027777778, A.D. 2023-Jul-14 12:40:00.0000,  1.024171482869382E+05,  3.401278124408230E+05,  1.739844647930679E+05, -9.495616105107150E-01,  2.422709986971752E-01,  1.749552595773278E-01,
2460140.034722222, A.D. 2023-Jul-14 12:50:00.0000,  1.018472882615218E+05,  3.402727790001417E+05,  1.740892349194868E+05, -9.499714237199584E-01,  2.409508136116995E-01,  1.742784481804519E-01,
2460140.041666667, A.D. 2023-Jul-14 13:00:00.0000,  1.012771830390723E+05,  3.404169533549524E+05,  1.741935988746763E+05, -9.503789339389086E-01,  2.396303175026584E-01,  1.736013557428511E-01,
2460140.048611111, A.D. 2023-Jul-14 13:10:00.0000,  1.007068340014108E+05,  3.405603353195384E+05,  1.742975564904860E+05, -9.507841410795872E-01,  2.383095133612240E-01,  1.729239838443045E-01,
2460140.055555556, A.D. 2023-Jul-14 13:20:00.0000,  1.001362425304092E+05,  3.407029247099773E+05,  1.744011075997132E+05, -9.511870450584464E-01,  2.369884041773630E-01,  1.722463340641841E-01,
2460140.062500000, A.D. 2023-Jul-14 13:30:00.0000,  9.956541000798884E+04,  3.408447213441405E+05,  1.745042520361025E+05, -9.515876457963625E-01,  2.356669929398331E-01,  1.715684079814537E-01,
2460140.069444444, A.D. 2023-Jul-14 13:40:00.0000,  9.899433781611676E+04,  3.409857250416920E+05,  1.746069896343461E+05, -9.519859432186345E-01,  2.343452826361806E-01,  1.708902071746662E-01,
2460140.076388889, A.D. 2023-Jul-14 13:50:00.0000,  9.842302733680369E+04,  3.411259356240879E+05,  1.747093202300830E+05, -9.523819372549787E-01,  2.330232762527363E-01,  1.702117332219623E-01,
2460140.083333333, A.D. 2023-Jul-14 14:00:00.0000,  9.785147995210117E+04,  3.412653529145763E+05,  1.748112436598988E+05, -9.527756278395243E-01,  2.317009767746129E-01,  1.695329877010681E-01,
2460140.090277778, A.D. 2023-Jul-14 14:10:00.0000,  9.727969704409895E+04,  3.414039767381953E+05,  1.749127597613260E+05, -9.531670149108108E-01,  2.303783871857015E-01,  1.688539721892937E-01,
