JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2460140.125000000, A.D. 2023-Jul-14 15:00:00.0000,  9.441729803007386E+04,  3.836327949765061E+05,  2.486573150331646E+04, -9.550893957253753E-01,  2.711110593172343E-01,  6.279481224608743E-02,
2460140.145833333, A.D. 2023-Jul-14 15:30:00.0000,  9.269712080257352E+04,  3.841167829677528E+05,  2.497849826127783E+04, -9.562151790803852E-01,  2.666528528446731E-01,  6.250138995274433E-02,
2460140.166666667, A.D. 2023-Jul-14 16:00:00.0000,  9.097493582626650E+04,  3.845927433927063E+05,  2.509073580533187E+04, -9.573202276437909E-01,  2.621915563007738E-01,  6.220679796889030E-02,
2460140.187500000, A.D. 2023-Jul-14 16:30:00.0000,  8.925078042415215E+04,  3.850606707706762E+05,  2.520244203638509E+04, -9.584045410584812E-01,  2.577272601541491E-01,  6.191104335073502E-02,
2460140.208333333, A.D. 2023-Jul-14 17:00:00.0000,  8.752469191955478E+04,  3.855205597837181E+05,  2.531361486805227E+04, -9.594681193202865E-01,  2.532600547653669E-01,  6.161413316240288E-02,
2460140.229166667, A.D. 2023-Jul-14 17:30:00.0000,  8.579670763548921E+04,  3.859724052764393E+05,  2.542425222667065E+04, -9.605109627770104E-01,  2.487900303860695E-01,  6.131607447581790E-02,
2460140.250000000, A.D. 2023-Jul-14 18:00:00.0000,  8.406686489402829E+04,  3.864162022558010E+05,  2.553435205131388E+04, -9.615330721274612E-01,  2.443172771580948E-01,  6.101687437058731E-02,
2460140.270833333, A.D. 2023-Jul-14 18:30:00.0000,  8.233520101567177E+04,  3.868519458909202E+05,  2.564391229380571E+04, -9.625344484204895E-01,  2.398418851126000E-01,  6.071653993388727E-02,
2460140.291666667, A.D. 2023-Jul-14 19:00:00.0000,  8.060175331871716E+04,  3.872796315128698E+05,  2.575293091873359E+04, -9.635150930540226E-01,  2.353639441691880E-01,  6.041507826034753E-02,
2460140.312500000, A.D. 2023-Jul-14 19:30:00.0000,  7.886655911863229E+04,  3.876992546144770E+05,  2.586140590346191E+04, -9.644750077741060E-01,  2.308835441350383E-01,  6.011249645193721E-02,
2460140.333333333, A.D. 2023-Jul-14 20:00:00.0000,  7.712965572742948E+04,  3.881108108501201E+05,  2.596933523814502E+04, -9.654141946739412E-01,  2.264007747040382E-01,  5.980880161785040E-02,
2460140.354166667, A.D. 2023-Jul-14 20:30:00.0000,  7.539108045304153E+04,  3.885142960355236E+05,  2.607671692574042E+04, -9.663326561929294E-01,  2.219157254559188E-01,  5.950400087439235E-02,
