            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458345.844714629, A.D. 2018-Aug-15 08:16:23.3440,  1.186111807413927E+08, -9.428435584921578E+07,  1.257517270310223E+04,  1.804840510604716E+01,  2.322505247320754E+01, -4.358398492898985E-03,  5.054145747335544E+02,  1.515194776683970E+08, -3.234998393293107E-01,
2458346.094714629, A.D. 2018-Aug-15 14:16:23.3440,  1.189999616893145E+08, -9.378185929286605E+07,  1.248162630693614E+04,  1.794977829976062E+01,  2.330233235372906E+01, -4.303168021603909E-03,  5.053911953173136E+02,  1.515124686957355E+08, -3.254727358405194E-01,
2458346.344714629, A.D. 2018-Aug-15 20:16:23.3440,  1.193866089089003E+08, -9.327769829080641E+07,  1.238928080295771E+04,  1.785083828672889E+01,  2.337916789385999E+01, -4.247248521343394E-03,  5.053676751353812E+02,  1.515054175225814E+08, -3.274072524358050E-01,
2458346.594714629, A.D. 2018-Aug-16 02:16:23.3440,  1.197711156743156E+08, -9.277188243550023E+07,  1.229814827938378E+04,  1.775158868609055E+01,  2.345555959605265E+01, -4.190896887129369E-03,  5.053440169598416E+02,  1.514983249799846E+08, -3.293032244818936E-01,
2458346.844714629, A.D. 2018-Aug-16 08:16:23.3440,  1.201534753358555E+08, -9.226442130780798E+07,  1.220823539983481E+04,  1.765203292887224E+01,  2.353150802882313E+01, -4.134358404256133E-03,  5.053202235695124E+02,  1.514911919010136E+08, -3.311606270709466E-01,
2458347.094714629, A.D. 2018-Aug-16 14:16:23.3440,  1.205336813159585E+08, -9.175532447577079E+07,  1.211954365953058E+04,  1.755217426531553E+01,  2.360701380763076E+01, -4.077866287834908E-03,  5.052962977404417E+02,  1.514840191179069E+08, -3.329795594350393E-01,
2458347.344714629, A.D. 2018-Aug-16 20:16:23.3440,  1.209117271053939E+08, -9.124460149378246E+07,  1.203206964879856E+04,  1.745201577367830E+01,  2.368207757804146E+01, -4.021641455780767E-03,  5.052722422375118E+02,  1.514768074595551E+08, -3.347602298089254E-01,
2458347.594714629, A.D. 2018-Aug-17 02:16:23.3440,  1.212876062596518E+08, -9.073226190210049E+07,  1.194580531936884E+04,  1.735156037009313E+01,  2.375670000117111E+01, -3.965892503144275E-03,  5.052480598071106E+02,  1.514695577493047E+08, -3.365029409909174E-01,
2458347.844714629, A.D. 2018-Aug-17 08:16:23.3440,  1.216613123955544E+08, -9.021831522664739E+07,  1.186073824927583E+04,  1.725081081910609E+01,  2.383088174134734E+01, -3.910815845957316E-03,  5.052237531708133E+02,  1.514622708030634E+08, -3.382080767937429E-01,
2458348.094714629, A.D. 2018-Aug-17 14:16:23.3440,  1.220328391880987E+08, -8.970277097905521E+07,  1.177685190300271E+04,  1.714976974456484E+01,  2.390462345588223E+01, -3.856596003679158E-03,  5.051993250200011E+02,  1.514549474276870E+08, -3.398760895235200E-01,
2458348.344714629, A.D. 2018-Aug-17 20:16:23.3440,  1.224021803675361E+08, -8.918563865690996E+07,  1.169412588449940E+04,  1.704843964057181E+01,  2.397792578681567E+01, -3.803405991202879E-03,  5.051747780113456E+02,  1.514475884196256E+08, -3.415074885776708E-01,
